asset_id,name,name_en,name_ms,category,osm_category,osm_type,osm_id,lat,lon,state,state_code,district,district_code,website,phone,opening_hours,fee,wheelchair
OSM_node_5574943269,Scallywags,,,Attraction,tourism=attraction,node,5574943269,1.539294,104.262789,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487591824,Seafarer’s Gift Shop,,,Attraction,tourism=attraction,node,5487591824,1.538726,104.262318,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5574943270,Starfish Splash,,,Attraction,tourism=attraction,node,5574943270,1.539464,104.262638,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5574943266,Super Twister,,,Attraction,tourism=attraction,node,5574943266,1.540304,104.260288,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5574943261,Surf Wall,,,Attraction,tourism=attraction,node,5574943261,1.538585,104.262815,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5681623278,Swinging Ship,,,Attraction,tourism=attraction,node,5681623278,1.539102,104.261994,Johor,01,Kota Tinggi,04,,,,,
OSM_node_6330125487,Teluk Sengat Crocodile Farm,,,Attraction,tourism=attraction,node,6330125487,1.565024,104.026633,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487567322,The Galley Snack Bar,,,Attraction,tourism=attraction,node,5487567322,1.539643,104.260429,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5574943263,The Tempest,,,Attraction,tourism=attraction,node,5574943263,1.539259,104.260735,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5487591825,Ticketing Counter,,,Attraction,tourism=attraction,node,5487591825,1.538393,104.262057,Johor,01,Kota Tinggi,04,,,,,
OSM_way_481696210,Unnamed Attraction,,,Attraction,tourism=attraction,way,481696210,1.369786,104.089449,Johor,01,Kota Tinggi,04,,,,,
OSM_way_881193472,Unnamed Attraction,,,Attraction,tourism=attraction,way,881193472,1.381536,104.261988,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5574943265,Wild Whirl,,,Attraction,tourism=attraction,node,5574943265,1.540337,104.260449,Johor,01,Kota Tinggi,04,,,,,
